11,11,11,0,0,0,0,11,character
324,18,324,0,207,0,207,18,character
508,19,508,0,401,0,401,19,character
119,45,0,43,0,71,118,74,character
314,77,314,49,153,49,153,77,character
508,55,380,53,379,79,507,81,character
511,107,0,98,0,128,510,137,character
511,157,0,147,0,177,510,187,character
422,205,0,198,0,227,421,234,character
511,256,0,247,0,278,510,287,character
511,356,0,348,0,379,510,387,character
335,404,0,398,0,428,334,434,character
511,456,0,449,0,477,510,485,character
511,511,511,500,0,500,0,511,FFF
