374,11,374,0,288,0,288,11,character
431,46,0,36,0,64,430,74,character
157,77,0,72,0,92,156,97,character
229,92,165,92,165,113,229,113,character
453,98,288,96,287,116,452,118,character
64,107,0,105,0,126,63,127,character
244,152,158,150,157,169,243,171,character
394,155,287,155,287,172,394,172,character
193,230,193,200,0,200,0,230,character
402,210,274,206,273,225,401,229,character
496,318,0,308,0,330,495,340,character
114,345,0,342,0,362,113,365,character
496,384,0,375,0,395,495,405,character
496,417,0,408,0,429,495,438,character
381,448,0,442,0,462,380,468,character
410,482,0,475,0,495,409,503,character
