511,68,511,39,482,39,482,68,character
427,56,115,48,114,84,426,92,character
511,150,115,136,114,158,510,172,character
243,191,243,175,212,175,212,191,character
511,186,299,181,298,203,510,208,character
243,203,104,197,103,217,242,223,character
511,215,310,209,309,234,510,240,character
244,238,50,217,48,235,242,256,character
243,265,104,260,103,279,242,284,character
373,300,72,292,71,313,372,321,character
492,325,492,303,385,303,385,325,character
362,337,104,329,103,350,361,358,character
511,339,396,339,396,359,511,359,character
