359,40,115,33,114,57,358,64,character
114,47,0,42,0,68,113,73,character
511,78,511,54,395,54,395,78,character
135,104,0,101,0,116,134,119,character
503,105,424,103,423,118,502,120,character
143,128,0,126,0,141,142,143,character
315,149,315,136,295,136,295,149,character
511,141,331,136,330,151,510,155,character
207,150,0,146,0,162,206,166,character
511,157,331,154,330,167,510,171,character
315,165,295,165,295,177,315,177,character
511,173,331,170,330,183,510,187,character
511,190,331,185,330,199,510,203,character
315,192,295,192,295,206,315,206,character
35,223,35,209,0,209,0,223,character
128,212,50,210,49,225,127,227,character
258,213,143,211,142,227,257,229,character
338,220,295,216,293,230,336,234,character
459,221,388,219,387,234,458,236,character
511,223,482,223,482,237,511,237,character
114,232,0,229,0,243,113,246,character
186,234,165,234,165,248,186,248,character
359,239,266,237,265,249,358,251,character
511,255,511,242,431,242,431,255,character
481,388,481,373,403,373,403,388,character
143,408,143,391,50,391,50,408,character
511,416,511,400,410,400,410,416,character
135,421,0,417,0,433,134,437,character
200,443,0,438,0,453,199,458,character
236,464,0,457,0,472,235,479,character
513,485,424,470,421,485,510,500,character
308,473,280,473,280,487,308,487,character
258,482,0,477,0,491,257,496,character
107,511,107,498,50,498,50,511,FFF
