274,37,272,15,77,27,79,49,character
180,85,178,63,84,70,86,92,character
512,105,510,83,84,114,86,136,character
512,149,510,127,91,157,93,179,character
512,192,510,170,91,201,93,223,character
229,259,228,239,107,244,108,264,character
512,282,510,258,192,281,194,305,character
173,307,171,286,98,290,100,311,character
281,343,279,321,106,335,108,357,character
512,370,510,349,106,379,108,401,character
289,434,286,409,106,424,108,449,character
512,461,510,439,106,468,108,490,character
512,507,510,485,137,510,139,532,character
