246,68,245,47,203,49,204,70,character
267,88,74,84,73,105,266,109,character
512,101,388,95,386,121,510,126,character
105,128,63,128,63,147,105,147,character
213,131,161,129,160,148,212,150,character
505,145,258,137,257,159,504,167,character
213,157,63,150,62,171,212,178,character
511,174,280,168,279,190,510,196,character
213,184,63,178,62,197,212,203,character
511,203,258,196,257,218,510,225,character
203,211,53,207,52,226,202,230,character
511,232,247,224,246,246,510,254,character
116,245,31,241,30,262,115,266,character
235,249,150,246,149,270,234,273,character
440,257,366,254,365,273,439,276,character
511,281,511,259,463,259,463,281,character
