387,17,344,13,342,33,385,37,character
177,174,5,169,4,186,176,191,character
206,194,5,187,4,200,205,207,character
278,217,19,209,18,228,277,236,character
69,244,69,233,26,233,26,244,character
134,251,26,249,25,267,133,269,character
400,259,257,255,256,273,399,277,character
511,281,511,262,495,262,495,281,character
119,271,26,271,26,285,119,285,character
335,291,335,279,257,279,257,291,character
511,296,511,286,502,286,502,296,character
77,305,5,296,3,312,75,321,character
26,317,0,314,-1,325,24,328,character
285,348,0,338,0,355,284,365,character
141,364,0,359,0,371,140,376,character
119,396,0,391,0,408,118,413,FFF
105,414,0,411,0,422,104,425,character
