511,9,510,-12,84,18,86,40,character
512,53,510,31,91,61,93,83,character
512,96,510,74,91,105,93,127,character
229,163,228,143,107,148,108,168,character
512,186,510,162,192,185,194,209,character
173,211,171,190,98,194,100,215,character
281,247,279,225,106,239,108,261,character
512,274,510,253,106,283,108,305,character
289,338,286,313,106,328,108,353,character
512,365,510,343,106,372,108,394,character
512,411,510,389,113,416,115,437,character
512,457,510,435,113,460,115,482,character
512,502,510,481,114,503,115,524,character
