480,87,221,85,220,110,479,112,character
148,156,148,137,62,137,62,156,character
379,139,192,137,191,156,378,158,character
154,213,154,195,48,195,48,213,character
371,219,371,200,185,200,185,219,character
148,217,62,217,62,232,148,232,character
299,255,185,255,185,273,299,273,character
141,277,141,259,62,259,62,277,character
472,302,394,302,394,322,472,322,character
148,326,148,306,40,306,40,326,character
141,376,141,357,62,357,62,376,character
511,359,185,356,184,376,510,379,character
511,419,185,416,184,437,510,440,character
141,436,141,418,62,418,62,436,character
133,491,133,475,69,475,69,491,character
472,492,472,475,394,475,394,492,character
