51,50,49,18,-1,20,0,52,character
309,45,308,19,94,21,95,47,character
353,117,352,83,0,88,0,122,character
511,170,510,145,245,150,246,174,character
212,166,105,166,105,191,212,191,character
511,203,510,179,245,182,246,207,character
511,317,510,290,212,295,213,322,character
126,319,125,296,50,298,51,321,character
511,399,511,371,397,371,397,399,character
201,376,62,373,61,396,200,399,character
212,436,211,412,94,415,95,439,character
28,438,28,417,0,417,0,438,character
504,455,504,428,462,428,462,455,character
331,453,330,429,245,431,246,455,character
212,469,211,447,104,449,105,471,character
28,470,28,450,0,450,0,470,character
511,499,0,499,0,511,511,511,character
