449,22,449,2,0,2,0,22,character
208,54,208,35,0,35,0,54,character
208,120,208,100,0,100,0,120,character
106,153,106,132,0,132,0,153,character
91,166,0,166,0,186,91,186,character
171,200,0,200,0,219,171,219,character
113,252,113,233,0,233,0,252,character
347,286,347,266,0,266,0,286,character
195,314,193,290,120,296,122,319,character
33,319,33,299,0,299,0,319,character
143,351,143,331,0,331,0,351,character
251,364,56,364,56,383,251,383,character
325,418,231,416,230,449,324,451,character
353,453,20,453,20,482,353,482,character
